title,genre,theme,budget,revenue
Steel Crown,Crime,Escape,20,71
Iron Edge,Comedy,Redemption,80,210
Rogue Witness,SciFi,Revenge,240,1373
Broken Reign,Romance,Freedom,185,719
Phantom Forge,Fantasy,Police,295,1172
Golden Gloom,Drama,Betrayal,105,244
Golden Pursuit,Fantasy,Betrayal,100,580
Neon Voyage,SciFi,Exploration,295,1794
Rising Realm,SciFi,Redemption,150,1043
Scarlet Harbor,SciFi,Rebellion,145,733
Vivid Path,Action,Destiny,230,1006
Burning Reign,Thriller,Redemption,145,692
Rogue Path,Romance,Escape,240,893
Shattered Crest,Adventure,Adventure,25,118
Frozen Abyss,Adventure,Adventure,70,339
Dragon Dawn,Fantasy,Transformation,195,569
Crystal Blade,Crime,Redemption,175,458
Toxic Gloom,Fantasy,Love,280,1094
Fallen Pulse,SciFi,Honor,110,461
Hollow Gloom,Crime,Crime,300,1027
Ancient Path,Fantasy,Corruption,295,1794
Rogue Shard,Action,Power,35,127
Deep Realm,Adventure,Revenge,240,1073
Deep Spark,Thriller,Police,295,1697
Hollow Oath,Horror,Revenge,115,630
Twisted Siege,Fantasy,Crime,130,372
Thunder Oath,Horror,Betrayal,220,1845
Midnight Witness,Horror,Love,100,465
Twisted Blade,Romance,Betrayal,95,282
Shattered Drift,Adventure,Adventure,60,154
Velvet Crown,Comedy,Rebellion,60,340
Silent Gloom,Fantasy,Corruption,180,802
Fallen Crest,Horror,Revenge,150,555
Dragon Drift,SciFi,Justice,105,631
Toxic Heist,Comedy,Corruption,165,743
Phantom Harbor,Adventure,Crime,260,765
Ancient Realm,Action,Justice,20,70
Wicked Reign,Action,Conspiracy,115,440
Frozen Code,Crime,Survival,145,462
Neon Pursuit,Horror,Betrayal,40,277
Toxic Wrath,Thriller,Conspiracy,70,409
Eternal Fury,Fantasy,Mystery,245,976
Burning Spark,Fantasy,Heist,90,456
Steel Reign,Action,Corruption,290,1664
Midnight Crest,Fantasy,Betrayal,60,381
Fallen Reign,Romance,Conspiracy,270,608
Neon Gloom,Drama,Love,285,1108
Rogue Zenith,Fantasy,Police,135,683
Savage Forge,Fantasy,Justice,230,1060
Crystal Reign,Action,Conspiracy,85,438
Lost Pulse,Adventure,Escape,280,1338
Fading Realm,Thriller,Transformation,40,170
Twisted Heist,Drama,Survival,270,1120
Urban Flame,Fantasy,Love,160,536
Fading Crown,Romance,Sacrifice,235,699
Iron Flux,Horror,Obsession,70,320
Phantom Wrath,Horror,Obsession,120,905
Last Nexus,SciFi,War,65,165
Iron Drift,Fantasy,Revenge,300,2025
Frozen Reign,SciFi,Honor,70,376
Shadow Laugh,SciFi,Transformation,220,722
Silent Realm,SciFi,Mystery,125,746
Cosmic Rift,Comedy,Chaos,240,515
Ancient Blade,Crime,Power,230,1059
Vivid Voyage,Action,Family,45,209
Last Blade,Adventure,Transformation,145,897
Steel Bane,Drama,Identity,120,397
Lost Realm,Horror,Love,75,345
Rising Oath,Romance,Crime,65,186
Crystal Siege,Thriller,Survival,110,523
Vivid Flux,Drama,Friendship,75,192
Vivid Storm,Romance,Family,190,827
Iron Pursuit,Thriller,Discovery,185,887
Hollow Veil,Crime,Conspiracy,90,341
Burning Pursuit,Romance,Love,285,694
Shadow Bane,Adventure,Crime,300,895
Velvet Drift,Adventure,Adventure,85,253
Steel Realm,Romance,Identity,180,879
Rogue Justice,Action,Heist,55,241
Blazing Tide,Romance,Justice,15,32
Cosmic Strike,Action,Heist,15,69
Rogue Storm,SciFi,Honor,110,453
Burning Storm,Action,Survival,145,450
Urban Crown,Fantasy,Redemption,45,157
Twisted Storm,Drama,Family,160,272
Toxic Crest,Thriller,Exploration,295,1262
Midnight Rift,SciFi,Conspiracy,145,335
Golden Bane,Drama,Family,55,90
Deep Voyage,Horror,Transformation,35,236
Silent Fury,Crime,Transformation,245,661
Blazing Gloom,Comedy,Power,135,416
Blazing Wrath,Horror,Sacrifice,95,426
Lost Flux,Fantasy,Freedom,240,1114
Rogue Fang,Horror,Family,120,1022
Fading Nexus,Horror,Heist,110,518
Silent Drift,Drama,Exploration,265,588
Eternal Night,Crime,Discovery,25,121
Fading Voyage,Crime,Discovery,110,295
Fading Harbor,Drama,Honor,130,287
Primal Veil,Comedy,Family,165,501
Savage Flame,Fantasy,Escape,235,1552
Wicked Blade,Fantasy,Conspiracy,115,782
Blazing Flame,Action,Crime,255,856
Lost Justice,Comedy,Betrayal,205,724
Phantom Bane,Thriller,Sacrifice,265,1025
Thunder Flux,Adventure,Redemption,10,40
Primal Path,Action,Exploration,270,1401
Shadow Forge,Thriller,Freedom,135,735
Burning Crest,Thriller,Obsession,195,910
Phantom Storm,SciFi,Friendship,235,778
Crimson Reign,Fantasy,Revenge,260,1440
Thunder Abyss,Fantasy,Friendship,135,925
Last Voyage,Fantasy,Destiny,20,108
Twisted Bane,Action,Corruption,245,1348
Thunder Nexus,Horror,Discovery,130,824
Rising Dawn,SciFi,Power,85,283
Urban Tide,Crime,Sacrifice,270,1131
Ancient Strike,Horror,Transformation,205,852
Broken Pursuit,Comedy,Revenge,205,829
Golden Spark,Action,Identity,290,1247
Phantom Edge,Comedy,War,20,67
Lost Bane,Thriller,Rebellion,115,622
Scarlet Laugh,Fantasy,Transformation,80,490
Steel Harbor,Thriller,Mystery,85,411
Broken Shard,Fantasy,Friendship,10,60
Rising Storm,Romance,War,150,257
Savage Veil,Thriller,Obsession,240,890
Last Justice,Action,Exploration,150,864
Deep Shard,Romance,Redemption,140,696
Phantom Fury,Crime,Revenge,240,1378
Toxic Harbor,Adventure,Escape,45,270
Savage Flux,Adventure,Freedom,165,980
Fading Drift,Adventure,Conspiracy,130,483
Eternal Reign,Crime,Destiny,225,961
Savage Heist,Adventure,Obsession,75,324
Dark Flame,Horror,Heist,85,613
Dark Code,Drama,Honor,155,605
Phantom Spark,Romance,Sacrifice,210,763
Frozen Pursuit,Fantasy,Survival,290,872
Fallen Siege,SciFi,Destiny,55,309
Primal Bane,SciFi,Betrayal,45,270
Crystal Abyss,Romance,Love,175,529
Dragon Pulse,Adventure,Rebellion,215,868
Shadow Zenith,Fantasy,Police,45,224
Wicked Fury,Romance,Revenge,20,37
Neon Harbor,Romance,Legacy,145,568
Blazing Laugh,SciFi,Redemption,160,874
Ancient Reign,Fantasy,Revenge,265,1325
Eternal Bane,Crime,Friendship,65,277
Wicked Abyss,Drama,Family,220,363
Shattered Harbor,Adventure,Justice,205,1154
Deep Pulse,Comedy,Justice,230,489
Midnight Fang,Adventure,Sacrifice,255,767
Wicked Storm,Romance,Survival,185,617
Vivid Wrath,Fantasy,Escape,285,1620
Crystal Drift,Action,Exploration,85,508
Ancient Laugh,Comedy,Sacrifice,120,558
Scarlet Fang,Fantasy,Heist,270,1633
Savage Reign,Drama,Family,110,433
Shadow Flame,SciFi,Honor,145,329
Toxic Voyage,Adventure,Corruption,135,345
Dragon Wrath,Comedy,Legacy,185,604
Rising Code,Horror,Adventure,250,1202
Burning Forge,Comedy,Transformation,195,762
Silent Bane,Horror,Transformation,90,783
Crystal Dawn,Thriller,Conspiracy,40,121
Midnight Path,Fantasy,Legacy,210,1172
Blazing Flux,Comedy,Identity,245,1351
Velvet Spark,Crime,Rebellion,135,466
Scarlet Blade,Action,Discovery,120,512
Dragon Gloom,Thriller,Rebellion,185,876
Scarlet Crest,Horror,Destiny,10,54
Thunder Crown,Fantasy,Mystery,160,499
Velvet Code,Fantasy,Adventure,240,1609
Primal Drift,Crime,Destiny,35,120
Frozen Tide,Crime,Honor,190,949
Ancient Wrath,Horror,Sacrifice,285,983
Broken Tide,Thriller,Legacy,100,456
Hollow Crest,Drama,Adventure,125,333
Scarlet Fury,Comedy,War,285,1649
Primal Justice,Fantasy,Survival,160,411
Lost Echo,Romance,War,280,1303
Ancient Harbor,Action,Conspiracy,65,221
Rogue Edge,Action,Redemption,60,202
Shattered Tide,Adventure,Chaos,10,57
Deep Crest,Romance,Legacy,90,172
Deep Code,Adventure,Chaos,190,853
Crimson Shard,Crime,Friendship,245,1229
Eternal Drift,Action,Freedom,220,1187
Fallen Realm,Crime,Love,155,566
Last Code,SciFi,Transformation,10,57
Iron Voyage,SciFi,Police,175,743
Wicked Heist,Horror,Honor,20,171
Broken Drift,Adventure,Legacy,155,450
Burning Bane,SciFi,Identity,25,114
Primal Pulse,Drama,Mystery,15,32
Phantom Siege,Adventure,Love,65,231
Crystal Bane,Thriller,Freedom,180,539
Hollow Heist,Adventure,Escape,20,109
Blazing Reign,SciFi,Destiny,235,849
Blazing Blade,Drama,Conspiracy,155,663
Last Realm,Fantasy,Adventure,95,384
Cosmic Laugh,Adventure,Friendship,190,755
Midnight Nexus,Drama,Exploration,90,371
Frozen Justice,SciFi,Revenge,290,585
Dark Abyss,Thriller,Family,100,593
Silent Storm,Horror,Legacy,140,1251
Shadow Code,Thriller,Family,295,978
Vivid Gloom,Horror,War,25,97
Silent Tide,Thriller,Identity,190,600
Thunder Justice,Fantasy,Escape,215,934
Hollow Harbor,Romance,Obsession,130,271
Silent Harbor,Adventure,Legacy,145,405
Hollow Path,Thriller,Love,170,580
Primal Heist,Fantasy,Conspiracy,270,1177
Iron Code,Action,Betrayal,10,52
Shadow Voyage,Romance,Crime,155,741
Midnight Code,Fantasy,Family,80,555
Midnight Crown,Crime,Family,80,163
Primal Witness,SciFi,Crime,60,168
Cosmic Witness,Drama,Chaos,100,443
Silent Wrath,Crime,Legacy,110,457
Wicked Tide,Romance,Transformation,260,504
Midnight Pulse,Adventure,Crime,20,91
Dark Spark,Action,Destiny,235,921
Hollow Echo,Action,Justice,250,1060
Deep Fury,Adventure,Chaos,290,840
Phantom Heist,Thriller,Exploration,215,811
Thunder Realm,Thriller,Freedom,250,1304
Burning Abyss,Comedy,Survival,110,595
Shattered Night,Fantasy,Survival,215,863
Deep Tide,Crime,Sacrifice,235,1117
Wicked Edge,Action,Conspiracy,230,748
Savage Spark,Thriller,Destiny,155,394
Last Zenith,Comedy,Exploration,105,244
Blazing Pulse,Romance,War,295,1406
Dragon Witness,Romance,Exploration,65,204
Crimson Crest,Thriller,Survival,60,194
Rising Spark,Horror,Crime,130,705
Velvet Harbor,Horror,Freedom,155,973
Ancient Pulse,Comedy,Crime,210,1004
Deep Reign,Fantasy,Survival,75,368
Primal Crest,Horror,Redemption,255,1389
Mystic Tide,Thriller,Mystery,235,1242
Dark Siege,Romance,Police,130,430
Urban Path,Comedy,Friendship,120,588
Cosmic Tide,Romance,Crime,145,271
Dark Edge,Comedy,Honor,95,513
Rogue Siege,Comedy,Heist,65,327
Lost Harbor,Action,Exploration,80,292
Broken Blade,Action,Mystery,115,549
Burning Siege,Horror,Heist,10,55
Crimson Rift,Comedy,Adventure,165,666
Fading Tide,Drama,Exploration,120,339
Phantom Abyss,Horror,Power,30,124
Frozen Dawn,Crime,Rebellion,15,31
Steel Storm,Action,Friendship,235,775
Wicked Drift,Action,Identity,95,297
Velvet Blade,Action,War,65,206
Frozen Gloom,Fantasy,Honor,270,916
Toxic Veil,Comedy,Sacrifice,155,748
Scarlet Edge,Romance,War,120,295
Urban Crest,Thriller,War,130,600
Cosmic Spark,Adventure,Heist,285,1243
Last Heist,Drama,Conspiracy,165,395
Hidden Shard,Romance,Family,165,589
Dark Reign,Comedy,Conspiracy,190,628
Twisted Flame,Horror,Conspiracy,75,386
Mystic Strike,Action,Betrayal,265,814
Blazing Crest,Romance,Corruption,170,418
Deep Laugh,Fantasy,Identity,265,713
Crimson Realm,Drama,Love,120,274
Rising Laugh,Action,War,235,1195
Silent Justice,Fantasy,Love,275,1876
Ancient Abyss,Thriller,War,55,252
Shadow Pursuit,Crime,Adventure,240,1046
Deep Path,Comedy,Identity,300,718
Shadow Justice,Comedy,Power,105,317
Wicked Harbor,Fantasy,Chaos,250,1637
Shattered Shard,Horror,Revenge,70,227
Dark Justice,Drama,Family,95,234
Midnight Dawn,Action,Crime,150,875
Primal Echo,Fantasy,Power,270,1277
Broken Siege,SciFi,Honor,85,336
Toxic Realm,Romance,Heist,185,636
Last Edge,Comedy,Escape,115,234
Dark Strike,Thriller,Revenge,130,370
Wicked Echo,Romance,Destiny,90,213
Crimson Dawn,Romance,Freedom,130,439
Velvet Nexus,Thriller,Escape,275,1422
Crystal Pulse,Romance,Friendship,15,41
Fallen Abyss,Crime,Chaos,175,363
Velvet Voyage,Horror,Conspiracy,280,1479
Golden Drift,Drama,Betrayal,90,162
Ancient Dawn,Adventure,Justice,185,763
Blazing Zenith,Romance,Rebellion,200,687
Neon Forge,Romance,Betrayal,300,617
Mystic Edge,Drama,Exploration,50,170
Iron Pulse,Comedy,Escape,55,318
Shattered Fang,SciFi,Crime,275,1048
Fallen Zenith,Romance,Chaos,220,1065
Scarlet Realm,Action,Mystery,220,941
Silent Crown,Fantasy,Legacy,205,754
Golden Realm,Fantasy,War,170,1009
Crimson Path,SciFi,Power,15,88
Thunder Fury,Fantasy,Escape,165,738
Crimson Gloom,Drama,Friendship,180,733
Golden Path,Fantasy,Heist,100,551
Scarlet Night,Fantasy,Power,25,97
Blazing Strike,Fantasy,Destiny,160,762
Scarlet Echo,Horror,Betrayal,275,2234
Midnight Drift,SciFi,Survival,140,821
Dragon Zenith,Adventure,Transformation,220,1067
Blazing Harbor,Action,Obsession,170,678
Hidden Strike,Romance,Freedom,60,119
Mystic Crown,Romance,Justice,195,477
Urban Shard,Horror,Obsession,10,34
Iron Witness,SciFi,Identity,245,869
Fading Veil,Thriller,Transformation,110,385
Silent Flame,Drama,Family,10,17
Hollow Reign,Action,Police,30,147
Blazing Fang,Horror,Honor,240,1153
Vivid Spark,Romance,Sacrifice,290,533
Vivid Crown,Thriller,Corruption,175,883
Dark Heist,Action,Legacy,265,1122
Rogue Laugh,Crime,Obsession,220,1058
Savage Tide,Horror,War,60,263
Neon Wrath,Action,Discovery,120,569
Urban Zenith,Comedy,Crime,235,470
Twisted Spark,Crime,Sacrifice,35,180
Dragon Blade,Drama,Escape,40,156
Broken Voyage,Thriller,Conspiracy,265,815
Hollow Abyss,Romance,Friendship,195,537
Rising Rift,SciFi,War,200,952
Last Veil,Fantasy,Justice,125,316
Dragon Storm,Romance,Redemption,175,265
Cosmic Realm,Crime,Conspiracy,130,759
Dark Blade,Adventure,Honor,105,575
Shattered Flux,Action,Adventure,150,874
Silent Edge,Fantasy,Betrayal,45,210
Dragon Edge,Comedy,Transformation,280,835
Neon Nexus,Fantasy,Conspiracy,200,1304
Crystal Gloom,Fantasy,Exploration,140,465
Steel Nexus,Romance,War,170,848
Cosmic Pursuit,Action,Transformation,180,977
Vivid Heist,Comedy,Discovery,30,169
Cosmic Fang,Drama,War,35,134
Primal Oath,Comedy,Exploration,95,386
Rising Heist,SciFi,Sacrifice,85,273
Mystic Harbor,Romance,Obsession,70,126
Cosmic Reign,Comedy,Identity,35,187
Crimson Wrath,Fantasy,Rebellion,140,465
Hidden Realm,Fantasy,Justice,25,129
Broken Storm,Comedy,Honor,165,782
Phantom Flame,SciFi,Justice,215,558
Ancient Gloom,Action,Police,130,725
Mystic Fury,Comedy,Rebellion,265,787
Broken Heist,Romance,Chaos,295,1242
Twisted Realm,Horror,Honor,110,487
Neon Blade,SciFi,Revenge,165,793
Phantom Realm,Horror,Transformation,80,689
Deep Abyss,Adventure,Mystery,100,510
Shattered Crown,Romance,Rebellion,170,762
Shadow Spark,Horror,Heist,70,379
Ancient Nexus,Adventure,Police,290,744
Ancient Rift,Comedy,Conspiracy,150,717
Twisted Wrath,SciFi,Exploration,25,53
Crimson Justice,SciFi,Adventure,290,1547
Golden Strike,Fantasy,Police,295,759
Steel Veil,Crime,Corruption,55,211
Silent Rift,Comedy,Survival,285,1482
Blazing Bane,Horror,Friendship,90,492
Fallen Fang,Adventure,Escape,145,900
Deep Veil,Drama,Friendship,65,223
Burning Tide,Horror,Discovery,150,1009
Eternal Crest,Horror,Discovery,40,199
Burning Drift,Romance,Obsession,185,307
Broken Abyss,Thriller,Power,195,1169
Crimson Nexus,Adventure,Identity,100,593
Shattered Pulse,SciFi,Chaos,175,1106
Frozen Nexus,Romance,Conspiracy,70,256
Rising Edge,Drama,Identity,235,417
Shadow Reign,Romance,Corruption,185,432
Dragon Crest,Romance,Adventure,20,80
Vivid Justice,Romance,Obsession,225,481
Lost Voyage,Horror,Freedom,75,668
Burning Nexus,Comedy,Rebellion,35,89
Savage Oath,Fantasy,Destiny,245,1466
Twisted Echo,Action,Rebellion,110,445
Scarlet Pursuit,Adventure,Rebellion,255,1038
Urban Blade,Drama,Obsession,45,195
Twisted Witness,Horror,Crime,95,557
Toxic Forge,Comedy,Adventure,145,693
Silent Abyss,SciFi,Corruption,45,222
Fallen Path,Action,Discovery,160,581
Ancient Justice,Romance,Exploration,140,418
Fallen Bane,Thriller,Chaos,60,246
Crystal Code,Adventure,War,135,558
Mystic Siege,SciFi,Conspiracy,185,1251
Ancient Voyage,Fantasy,Mystery,230,953
Lost Edge,Adventure,Corruption,90,557
Vivid Abyss,Romance,Survival,195,956
Fading Heist,Thriller,Family,55,171
Vivid Rift,Action,Survival,215,854
Thunder Drift,Action,Conspiracy,205,674
Wicked Flame,Horror,Adventure,270,936
Toxic Flux,Drama,Chaos,190,686
Broken Echo,Thriller,Corruption,55,318
Toxic Dawn,SciFi,Friendship,215,567
Primal Strike,Action,Redemption,10,40
Wicked Justice,Crime,Sacrifice,250,769
Rising Crown,SciFi,Chaos,40,194
Rising Abyss,Romance,Betrayal,15,43
Shadow Flux,Adventure,Friendship,175,487
Blazing Witness,Crime,Justice,90,307
Vivid Echo,Fantasy,Corruption,275,938
Velvet Flame,Drama,Obsession,30,87
Last Strike,Romance,Sacrifice,250,1170
Thunder Zenith,SciFi,Crime,20,111
Rogue Gloom,Thriller,Identity,270,812
Thunder Tide,Adventure,Police,160,508
Shattered Reign,Thriller,Rebellion,10,53
Twisted Zenith,Adventure,Adventure,175,442
Iron Shard,Crime,Police,180,795
Twisted Pursuit,Drama,Honor,165,588
Golden Blade,Romance,Chaos,235,879
Neon Tide,Horror,Identity,215,959
Dark Crest,Comedy,Friendship,160,642
Midnight Veil,Crime,Exploration,155,656
Scarlet Dawn,Thriller,Destiny,195,794
Eternal Path,Crime,Friendship,140,379
Hidden Pulse,Comedy,Crime,75,277
Rogue Forge,Drama,Honor,170,665
Toxic Pursuit,SciFi,Survival,10,59
Golden Flame,Horror,Legacy,210,1528
Twisted Fang,Horror,Family,75,301
Dragon Nexus,Horror,Obsession,250,952
Midnight Night,SciFi,Police,80,254
Eternal Voyage,Thriller,Justice,180,523
Deep Edge,Horror,Justice,200,973
Cosmic Siege,Crime,Adventure,230,781
Fallen Pursuit,Romance,Redemption,20,76
Primal Dawn,Fantasy,Identity,300,1887
Shadow Crown,Action,Transformation,110,543
Rising Zenith,Romance,Adventure,35,121
Twisted Path,Drama,Destiny,120,185
Iron Echo,Thriller,War,35,137
Cosmic Flame,Adventure,Betrayal,115,496
Vivid Code,Drama,Power,255,907
Blazing Justice,Adventure,Betrayal,120,519
Silent Path,Thriller,Identity,70,404
Blazing Realm,Romance,Revenge,160,241
Dragon Siege,Romance,Transformation,180,592
Thunder Shard,Adventure,Mystery,240,607
Dragon Fury,SciFi,Revenge,195,765
Rogue Crown,Action,Exploration,295,1151
Fallen Fury,Thriller,Escape,110,318
Silent Voyage,Crime,Conspiracy,75,296
Dragon Reign,Horror,Identity,25,162
Ancient Flame,Comedy,War,195,853
Broken Dawn,Fantasy,Revenge,195,551
Lost Gloom,Comedy,Legacy,10,21
Golden Fang,Adventure,Exploration,165,548
Urban Heist,Action,Heist,110,561
Hidden Laugh,Horror,Rebellion,100,735
Blazing Heist,Romance,Escape,85,229
Lost Strike,Comedy,Power,120,455
Neon Night,Horror,Heist,200,600
Primal Abyss,Comedy,Power,215,658
Broken Wrath,Romance,Sacrifice,100,265
Mystic Path,Thriller,Discovery,215,878
Twisted Voyage,Drama,Revenge,180,330
Scarlet Bane,Horror,Crime,175,671
Savage Code,Fantasy,Honor,35,168
Wicked Spark,Crime,Love,200,749
Dark Wrath,Romance,Obsession,70,204
Wicked Oath,Comedy,Police,165,620
Phantom Echo,SciFi,Betrayal,25,98
Hidden Pursuit,Crime,Justice,290,1518
Primal Night,Adventure,Police,155,603
Golden Fury,Drama,Family,175,718
Scarlet Siege,Action,Justice,55,259
Lost Wrath,Drama,Redemption,115,295
Mystic Echo,Action,Survival,150,538
Frozen Night,Adventure,Chaos,140,852
Crimson Pursuit,Adventure,War,30,130
Phantom Oath,Drama,Sacrifice,10,18
Eternal Oath,Comedy,Survival,80,419
Crimson Pulse,Fantasy,Chaos,85,457
Shadow Siege,Crime,Corruption,155,517
Urban Wrath,Horror,Discovery,295,1062
Eternal Forge,Adventure,Obsession,300,942
Thunder Crest,Adventure,Rebellion,300,1530
Crystal Fang,SciFi,Justice,235,1131
Crimson Flame,Comedy,Friendship,145,470
Savage Crown,Crime,Destiny,30,157
Primal Harbor,SciFi,Redemption,220,469
Fading Rift,Action,Friendship,115,587
Vivid Nexus,Comedy,Love,215,451
Primal Rift,Romance,Betrayal,195,896
Frozen Forge,Crime,Power,240,770
Fallen Flame,Thriller,Survival,235,1068
Crimson Valentine,Romance,Love,32,155
Moonlit Serenade,Romance,Destiny,28,130
Roses at Dawn,Romance,Sacrifice,18,82
Tangled Hearts,Romance,Betrayal,35,165
Forever After,Romance,Love,45,215
Whispers of You,Romance,Mystery,22,100
The Love Bridge,Romance,Friendship,30,142
Stolen Glances,Romance,Escape,25,118
Paris by Night,Romance,Adventure,50,245
Velvet Kisses,Romance,Love,15,68
Chasing Butterflies,Romance,Freedom,20,95
The Promise Ring,Romance,Destiny,38,180
Unwritten Letters,Romance,Sacrifice,12,54
Heartbeat Away,Romance,Love,42,200
Falling for You,Romance,Redemption,28,135
Lavender Fields,Romance,Identity,24,110
Summer Fling,Romance,Adventure,16,75
The Last Dance,Romance,Sacrifice,35,168
Candlelight Dinner,Romance,Love,40,192
Serendipity Lane,Romance,Destiny,30,145
Torn Between Two,Romance,Betrayal,22,98
Wildflower Love,Romance,Freedom,18,85
The Matchmaker,Romance,Friendship,45,220
Rainy Day Romance,Romance,Love,20,92
Stargazer Hearts,Romance,Destiny,32,150
Bittersweet Goodbye,Romance,Sacrifice,15,70
Love on the Rocks,Romance,Betrayal,28,128
The Honeymoon Phase,Romance,Love,38,185
Drifting Closer,Romance,Escape,25,115
Enchanted Evening,Romance,Mystery,35,165
Cupid's Arrow,Romance,Love,42,205
The Florist's Heart,Romance,Identity,20,90
Coastline Romance,Romance,Adventure,48,230
Faded Photographs,Romance,Sacrifice,14,62
Rekindled Flame,Romance,Redemption,30,140
Love Letters Home,Romance,Family,26,122
The Vineyard Kiss,Romance,Love,36,175
Snowfall Hearts,Romance,Destiny,22,105
Broken Compass Love,Romance,Adventure,40,195
The Wedding Singer,Romance,Love,44,210
Twilight Promises,Romance,Sacrifice,18,80
Café de l'Amour,Romance,Love,32,155
Wanderlust Hearts,Romance,Adventure,28,130
The Lighthouse Keeper,Romance,Sacrifice,24,112
Destined for You,Romance,Destiny,38,182
Petal Storm,Romance,Betrayal,20,88
Love in Bloom,Romance,Love,15,72
The Art of Falling,Romance,Redemption,35,168
Sapphire Nights,Romance,Mystery,30,142
Barefoot on the Beach,Romance,Freedom,22,100
The Balcony Scene,Romance,Love,40,195
Forget Me Not,Romance,Sacrifice,16,74
Chasing Sunsets,Romance,Adventure,45,218
The Love Equation,Romance,Identity,28,132
Heartfelt Confessions,Romance,Love,34,162
Autumn in New York,Romance,Destiny,30,145
The Secret Admirer,Romance,Mystery,22,102
Love Across Borders,Romance,Escape,38,180
The Bridal Path,Romance,Love,42,205
Whispering Pines,Romance,Sacrifice,20,90
Stolen Moments,Romance,Love,25,120
The Soulmate Theory,Romance,Destiny,35,170
Crimson Petals,Romance,Betrayal,18,82
Love at First Sight,Romance,Love,48,235
The Garden Party,Romance,Friendship,26,125
Midnight Confessions,Romance,Mystery,32,150
Runaway Bride Hearts,Romance,Escape,40,192
The Piano Teacher,Romance,Sacrifice,15,68
Sunflower Dreams,Romance,Love,22,105
The Love Architect,Romance,Identity,36,175
Dancing Under Stars,Romance,Freedom,28,130
The Proposal Plan,Romance,Love,44,215
Blossom Lane,Romance,Family,20,92
The Kissing Booth,Romance,Love,38,185
Waves of Affection,Romance,Adventure,30,142
The Love Gamble,Romance,Betrayal,24,110
Eternal Sunshine Love,Romance,Redemption,42,200
The Flower Shop,Romance,Love,16,75
Venetian Romance,Romance,Adventure,50,245
The Heart Wants,Romance,Destiny,32,155
Torn Pages,Romance,Sacrifice,14,62
Love in Translation,Romance,Identity,28,135
The Wedding Vow,Romance,Love,40,195
Cherry Blossom Kiss,Romance,Love,22,100
The Love Letter,Romance,Sacrifice,35,168
Starlight Serenade,Romance,Destiny,30,142
The Matchmaker's Diary,Romance,Friendship,26,122
Coastal Hearts,Romance,Adventure,45,220
The Promise Keeper,Romance,Love,38,182
Fading into You,Romance,Escape,20,90
The Romantic Getaway,Romance,Adventure,48,230
Love on Canvas,Romance,Identity,24,112
The Heartbreak Cure,Romance,Redemption,32,150
Moonrise Romance,Romance,Love,18,85
The Love Conspiracy,Romance,Mystery,36,175
Wildrose Summer,Romance,Freedom,22,102
The Engagement Ring,Romance,Love,42,205
Pastel Dreams,Romance,Destiny,28,130
The Love Paradox,Romance,Betrayal,30,140
Seaside Whispers,Romance,Love,15,70
The Love Detour,Romance,Adventure,34,165
Heartstrings Melody,Romance,Love,40,192
The Confession,Romance,Sacrifice,20,92
Love in Disguise,Romance,Mystery,28,135
The Sweetheart Deal,Romance,Betrayal,36,170
Daydream Believer,Romance,Destiny,25,118
The Love Experiment,Romance,Identity,30,142
Firefly Romance,Romance,Love,22,105
The Bouquet Toss,Romance,Love,44,215
Wandering Hearts,Romance,Escape,18,82
The Love Catalyst,Romance,Redemption,38,185
Orchid Dreams,Romance,Love,16,75
The Romantic Rival,Romance,Betrayal,32,150
Love on the Vine,Romance,Adventure,42,200
The Heart's Compass,Romance,Destiny,26,122
Silhouette Kiss,Romance,Love,20,95
The Love Alchemist,Romance,Mystery,35,168
Bluebell Romance,Romance,Family,24,110
The Proposal Pact,Romance,Friendship,40,195
Dusk till Dawn Love,Romance,Love,30,142
The Love Mirage,Romance,Escape,22,100
Primrose Path,Romance,Sacrifice,15,68
The Heartfelt Vow,Romance,Love,45,220
Cascading Roses,Romance,Love,28,130
The Love Riddle,Romance,Mystery,34,162
Twilight Romance,Romance,Destiny,38,182
The Secret Garden Love,Romance,Love,20,90
Love Beyond Words,Romance,Sacrifice,32,155
The Cupid Effect,Romance,Love,42,205
Magnolia Hearts,Romance,Family,18,82
The Love Equation Two,Romance,Identity,36,175
Riverside Romance,Romance,Adventure,26,125
The Heartbreak Hotel,Romance,Betrayal,30,140
Love in Slow Motion,Romance,Love,24,112
The Romantic Escape,Romance,Escape,40,195
Jasmine Nights,Romance,Love,22,100
The Love Blueprint,Romance,Identity,35,168
Coral Reef Hearts,Romance,Adventure,48,230
The Promise Garden,Romance,Love,16,74
Love at Twilight,Romance,Destiny,28,135
The Wedding Waltz,Romance,Love,44,210
Peony Dreams,Romance,Love,20,92
The Love Compass,Romance,Adventure,38,185
Amber Sunset Love,Romance,Sacrifice,14,62
The Heartfelt Letter,Romance,Love,32,155
Love on the Horizon,Romance,Freedom,25,118
The Romantic Voyage,Romance,Adventure,50,245
Iris Garden Romance,Romance,Love,22,105
The Love Theorem,Romance,Identity,30,142
Dahlia Hearts,Romance,Love,36,170
The Love Odyssey,Romance,Adventure,42,200
Wisteria Lane Love,Romance,Mystery,28,130
The Confession Room,Romance,Sacrifice,20,90
Love in the Ruins,Romance,Redemption,35,168
The Sweetheart Gambit,Romance,Betrayal,30,142
